date,year,month,product,bank,total_volume,approved_pct,bd_pct,td_pct,total_decline_pct
2021-01-08,2021,1,AEPS,Canara Bank,8.4,79.45,11.04,6.0,17.04
2021-01-08,2021,1,AEPS,Baroda Uttar Pradesh Gramin Bank,6.73,78.49,14.05,4.85,18.9
2021-01-08,2021,1,AEPS,Uttar Bihar Grameen Bank,5.31,79.25,13.42,4.14,17.56
2021-01-08,2021,1,AEPS,UCO Bank,5.19,74.5,16.81,5.08,21.89
2021-01-08,2021,1,AEPS,India Post Payment Bank,5.15,74.96,17.1,4.74,21.840000000000003
2021-01-08,2021,1,AEPS,Dakshin Bihar Gramin Bank erstwhile Madhya Bihar Gramin Bank,5.09,80.98,11.7,3.41,15.11
2021-01-08,2021,1,AEPS,Baroda Rajasthan Kshetriya Gramin Bank,4.76,77.98,14.63,4.83,19.46
2021-01-08,2021,1,AEPS,Indian Bank,4.67,65.07,23.99,7.67,31.659999999999997
2021-01-08,2021,1,AEPS,Purvanchal Gramin Bank,4.08,66.58,16.34,14.2,30.54
2021-01-08,2021,1,AEPS,Indian Overseas Bank,3.9,84.56,8.7,3.17,11.87
2021-01-08,2021,1,AEPS,Madhya Pradesh Gramin Bank erstwhile Narmada Jhabua Gramin Bank,3.66,79.53,9.17,7.5,16.67
2021-01-08,2021,1,AEPS,Chhattisgarh Rajya Gramin Bank,3.12,73.27,15.79,7.78,23.57
2021-01-08,2021,1,AEPS,Prathma UP Gramin Bank erstwhile Sarva UP Gramin Bank,3.07,80.29,12.57,3.47,16.04
2021-01-08,2021,1,AEPS,Bank of Maharashtra,2.84,80.37,12.26,3.41,15.67
2021-01-08,2021,1,AEPS,Bangiya Gramin Vikash Bank,2.77,74.46,12.76,10.03,22.79
2021-01-08,2021,1,AEPS,Rajasthan Marudhara Gramin Bank,2.48,78.4,13.55,4.5,18.05
2021-01-08,2021,1,AEPS,Aryavart Bank erstwhile Gramin Bank of Aryavart,2.4,57.26,33.9,4.82,38.72
2021-01-08,2021,1,AEPS,ICICI Bank,2.18,77.43,16.04,3.47,19.509999999999998
2021-01-08,2021,1,AEPS,Andhra Pradesh Grameena Vikash Bank,2.18,82.71,11.25,3.22,14.47
2021-01-08,2021,1,AEPS,Madhyanchal Gramin Bank,1.99,78.15,13.33,4.77,18.1
2021-01-08,2021,1,AEPS,Karnataka Gramin Bank erstwhile Pragathi Krishna Gramin Bank,1.77,82.97,10.16,3.42,13.58
2021-01-08,2021,1,AEPS,Utkal Gramin Bank,1.77,80.0,11.54,5.41,16.95
2021-01-08,2021,1,AEPS,Andhra Pragathi Grameena Bank,1.65,83.14,10.34,3.75,14.09
2021-01-08,2021,1,AEPS,Airtel Payment Bank,1.33,71.52,17.53,8.14,25.67
2021-01-08,2021,1,AEPS,Baroda Gujarat Gramin Bank,1.29,75.58,15.84,5.81,21.65
2021-01-08,2021,1,AEPS,HDFC Bank,1.25,67.79,26.15,3.02,29.169999999999998
2021-01-08,2021,1,AEPS,Jharkhand Rajya Gramin Bank erstwhile Vananchal Gramin Bank,1.13,72.05,18.81,5.75,24.56
2021-01-08,2021,1,AEPS,IDBI Bank,1.1,76.22,17.52,3.03,20.55
2021-01-08,2021,1,AEPS,Tripura Gramin Bank,1.06,52.5,11.41,33.49,44.900000000000006
2021-01-08,2021,1,AEPS,Punjab & Sind Bank,1.05,69.94,16.7,9.8,26.5
2021-01-08,2021,1,AEPS,Indusind Bank,0.99,77.4,15.0,4.64,19.64
2021-01-08,2021,1,AEPS,Fino Payments Bank,0.93,76.99,17.44,2.9,20.34
2021-01-08,2021,1,AEPS,Odisha Gramya Bank,0.78,79.74,11.61,5.43,17.04
2021-01-08,2021,1,AEPS,Telangana Grameena Bank,0.75,83.31,10.26,2.74,13.0
2021-01-08,2021,1,AEPS,Sarva Haryana Gramin Bank,0.71,56.25,9.67,30.4,40.07
2021-01-08,2021,1,AEPS,Uttar Banga Kshetriya Gramin Bank,0.64,78.89,14.96,2.72,17.68
2021-01-08,2021,1,AEPS,Karnataka Vikas Grameena Bank,0.62,76.32,14.8,4.95,19.75
2021-01-08,2021,1,AEPS,Axis Bank,0.61,64.42,29.18,3.42,32.6
2021-01-08,2021,1,AEPS,Paytm Payments Bank,0.6,81.94,12.26,2.89,15.15
2021-01-08,2021,1,AEPS,IDFC First Bank,0.45,70.63,7.86,18.78,26.64
2021-01-08,2021,1,AEPS,Saptagiri Grameena Bank,0.45,76.68,16.26,4.11,20.37
2021-01-08,2021,1,AEPS,TamilNadu Grama Bank erstwhile Pallavan Grama Bank,0.4,77.75,11.35,7.33,18.68
2021-01-08,2021,1,AEPS,Vidarbha Konkan Gramin Bank,0.38,77.17,10.24,8.68,18.92
2021-01-10,2021,1,NFS,State Bank of India,113.46,84.9,12.82,1.25,14.07
2021-01-10,2021,1,NFS,Union Bank Of India,38.67,83.54,13.77,1.69,15.459999999999999
2021-01-10,2021,1,NFS,Bank Of Baroda,33.14,81.98,14.22,2.74,16.96
2021-01-10,2021,1,NFS,Canara Bank,32.19,82.92,14.67,1.53,16.2
2021-01-10,2021,1,NFS,Punjab National Bank,31.87,81.54,14.03,3.41,17.439999999999998
2021-01-10,2021,1,NFS,HDFC Bank,26.41,85.58,11.66,1.61,13.27
2021-01-10,2021,1,NFS,Indian Bank,24.88,83.87,13.16,2.05,15.21
2021-01-10,2021,1,NFS,Bank Of India,24.36,78.26,13.17,7.64,20.81
2021-01-10,2021,1,NFS,ICICI Bank,18.29,87.5,9.49,1.95,11.44
2021-01-10,2021,1,NFS,Axis Bank,16.19,85.92,9.91,3.0,12.91
2021-01-10,2021,1,NFS,Central Bank of India,14.14,78.61,18.76,1.68,20.44
2021-01-10,2021,1,NFS,Indian Overseas Bank,11.28,75.36,13.09,10.73,23.82
2021-01-10,2021,1,NFS,UCO Bank,9.09,79.86,14.39,4.83,19.22
2021-01-10,2021,1,NFS,Bank of Maharashtra,9.08,81.58,15.01,2.39,17.4
2021-01-10,2021,1,NFS,Federal Bank,7.68,85.47,11.65,2.0,13.65
2021-01-10,2021,1,NFS,Kotak Mahindra Bank,7.26,82.8,14.23,1.89,16.12
2021-01-10,2021,1,NFS,IDBI Bank,6.19,82.07,14.66,2.18,16.84
2021-01-10,2021,1,NFS,Indusind Bank,5.86,87.18,9.96,1.95,11.91
2021-01-10,2021,1,NFS,Karnataka Bank,4.22,81.81,15.74,1.54,17.28
2021-01-10,2021,1,NFS,Karur Vysya Bank,3.98,86.27,11.59,1.24,12.83
2021-01-10,2021,1,NFS,Ujjivan Small Finance Bank Limited,2.97,78.69,18.39,2.04,20.43
2021-01-10,2021,1,NFS,IDFC,2.91,87.38,9.91,1.66,11.57
2021-01-10,2021,1,NFS,Yes Bank Ltd,2.81,87.53,10.44,0.96,11.399999999999999
2021-01-10,2021,1,NFS,Bandhan Bank limited,2.79,83.08,12.73,3.23,15.96
2021-01-10,2021,1,NFS,Paytm Payments Bank Ltd,2.69,79.83,17.63,1.54,19.169999999999998
2021-01-10,2021,1,NFS,The South Indian Bank,2.49,82.87,13.18,3.1,16.28
2021-01-10,2021,1,NFS,Punjab and Sind Bank,2.25,73.61,20.7,4.72,25.419999999999998
2021-01-10,2021,1,NFS,Department of Post,1.93,80.8,13.26,5.09,18.35
2021-01-10,2021,1,NFS,Jammu and Kashmir Bank,1.88,80.68,17.41,0.91,18.32
2021-01-10,2021,1,NFS,Tamilnaad Mercantile Bank,1.84,67.54,13.74,17.89,31.630000000000003
2021-01-10,2021,1,NFS,Fino Payments Bank,1.83,76.34,21.8,0.97,22.77
2021-01-10,2021,1,NFS,City Union Bank,1.77,83.29,13.58,2.16,15.74
2021-01-10,2021,1,NFS,Kerala Gramin Bank,1.56,77.8,16.92,4.65,21.57
2021-01-10,2021,1,NFS,ESAF Small Finance Bank,1.52,73.61,23.95,1.68,25.63
2021-01-10,2021,1,NFS,Andhra Pradesh Grameena Vikas Bank,1.39,67.3,29.31,2.77,32.08
2021-01-10,2021,1,NFS,Fincare Small Finance Bank Limited,1.3,72.59,25.88,0.76,26.64
2021-01-10,2021,1,NFS,Yes Bank ? Prepaid ? YP2,1.23,68.62,29.21,1.33,30.54
2021-01-10,2021,1,NFS,Pragathi Krishna Gramin Bank,1.11,74.38,21.91,2.96,24.87
2021-01-10,2021,1,NFS,Purvanchal Gramin Bank,1.11,82.8,14.47,1.71,16.18
2021-01-10,2021,1,NFS,Saraswat Co-operative Bank,1.1,86.76,9.15,2.94,12.09
2021-01-10,2021,1,NFS,Citibank,0.91,87.16,9.35,2.24,11.59
2021-01-10,2021,1,NFS,Maharashtra Gramin Bank,0.89,81.8,15.64,1.34,16.98
2021-01-10,2021,1,NFS,Standard Chartered Bank,0.89,87.73,9.06,1.97,11.030000000000001
